group_key,bucket,n_groups
reduced_formula,1,364
reduced_formula,2-5,9282
reduced_formula,6-20,0
reduced_formula,21-100,0
reduced_formula,>100,0
element_set,1,260
element_set,2-5,8008
element_set,6-20,0
element_set,21-100,0
element_set,>100,0
anonymous_formula,1,0
anonymous_formula,2-5,0
anonymous_formula,6-20,0
anonymous_formula,21-100,0
anonymous_formula,>100,5
