model_name,model_family,budget_name,train_budget_samples,train_fraction_actual,full_train_size,budget_strategy,split_seed,model_seed,split_id,mae,rmse,r2,mape,n_train,n_val,n_test,target_unit,predictions_path,model_path,history_path,model_params_json,notes
cgcnn_optimized,cgcnn,B500,500,0.0330207370228503,15142,absolute_doubling_budgets,42,42,random_iid_seed_42_80_10_10,0.4364519231154435,0.5809779706224567,0.4125967837400436,48.4064867711346,500,1893,1893,eV/unit cell,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed42.csv,outputs/models/cgcnn/random_iid_cgcnn_optimized_B500_seed42.pt,outputs/runs/history/random_iid_cgcnn_optimized_B500_seed42.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/random_iid_cgcnn_optimized_B500_seed42.pt; history_path=outputs/runs/history/random_iid_cgcnn_optimized_B500_seed42.csv; validation MAE=0.425436."
cgcnn_optimized,cgcnn,B500,500,0.0330207370228503,15142,absolute_doubling_budgets,42,42,element_set_seed_42_80_10_10,0.5314997479931993,0.7126395900235442,0.1025311724934091,75.18700672912772,500,1893,1893,eV/unit cell,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed42.csv,outputs/models/cgcnn/element_set_cgcnn_optimized_B500_seed42.pt,outputs/runs/history/element_set_cgcnn_optimized_B500_seed42.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/element_set_cgcnn_optimized_B500_seed42.pt; history_path=outputs/runs/history/element_set_cgcnn_optimized_B500_seed42.csv; validation MAE=0.523203."
cgcnn_optimized,cgcnn,B500,500,0.0330207370228503,15142,absolute_doubling_budgets,42,43,random_iid_seed_42_80_10_10,0.43439813466659,0.5722772209680465,0.4300589886821022,48.191744505556606,500,1893,1893,eV/unit cell,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed43.csv,outputs/models/cgcnn/random_iid_cgcnn_optimized_B500_seed43.pt,outputs/runs/history/random_iid_cgcnn_optimized_B500_seed43.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/random_iid_cgcnn_optimized_B500_seed43.pt; history_path=outputs/runs/history/random_iid_cgcnn_optimized_B500_seed43.csv; validation MAE=0.418291."
cgcnn_optimized,cgcnn,B500,500,0.0330207370228503,15142,absolute_doubling_budgets,42,43,element_set_seed_42_80_10_10,0.5430058624564309,0.7158470863177119,0.0944342153777478,71.68520290958149,500,1893,1893,eV/unit cell,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed43.csv,outputs/models/cgcnn/element_set_cgcnn_optimized_B500_seed43.pt,outputs/runs/history/element_set_cgcnn_optimized_B500_seed43.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/element_set_cgcnn_optimized_B500_seed43.pt; history_path=outputs/runs/history/element_set_cgcnn_optimized_B500_seed43.csv; validation MAE=0.543089."
cgcnn_optimized,cgcnn,B500,500,0.0330207370228503,15142,absolute_doubling_budgets,42,44,random_iid_seed_42_80_10_10,0.4436642118653984,0.5809144460638382,0.4127252309168097,52.011879249376825,500,1893,1893,eV/unit cell,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed44.csv,outputs/models/cgcnn/random_iid_cgcnn_optimized_B500_seed44.pt,outputs/runs/history/random_iid_cgcnn_optimized_B500_seed44.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/random_iid_cgcnn_optimized_B500_seed44.pt; history_path=outputs/runs/history/random_iid_cgcnn_optimized_B500_seed44.csv; validation MAE=0.430821."
cgcnn_optimized,cgcnn,B500,500,0.0330207370228503,15142,absolute_doubling_budgets,42,44,element_set_seed_42_80_10_10,0.5347463306823989,0.6936860692949437,0.1496349001343218,77.63237910999254,500,1893,1893,eV/unit cell,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed44.csv,outputs/models/cgcnn/element_set_cgcnn_optimized_B500_seed44.pt,outputs/runs/history/element_set_cgcnn_optimized_B500_seed44.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/element_set_cgcnn_optimized_B500_seed44.pt; history_path=outputs/runs/history/element_set_cgcnn_optimized_B500_seed44.csv; validation MAE=0.535442."
cgcnn_optimized,cgcnn,B2000,2000,0.1320829480914014,15142,absolute_doubling_budgets,42,42,random_iid_seed_42_80_10_10,0.2834775962819514,0.3778292392013531,0.7515676673248092,27.82167142678541,2000,1893,1893,eV/unit cell,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed42.csv,outputs/models/cgcnn/random_iid_cgcnn_optimized_B2000_seed42.pt,outputs/runs/history/random_iid_cgcnn_optimized_B2000_seed42.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/random_iid_cgcnn_optimized_B2000_seed42.pt; history_path=outputs/runs/history/random_iid_cgcnn_optimized_B2000_seed42.csv; validation MAE=0.279257."
cgcnn_optimized,cgcnn,B2000,2000,0.1320829480914014,15142,absolute_doubling_budgets,42,42,element_set_seed_42_80_10_10,0.2746034171867169,0.3793708844667147,0.7456642112876102,31.125935176827173,2000,1893,1893,eV/unit cell,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed42.csv,outputs/models/cgcnn/element_set_cgcnn_optimized_B2000_seed42.pt,outputs/runs/history/element_set_cgcnn_optimized_B2000_seed42.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/element_set_cgcnn_optimized_B2000_seed42.pt; history_path=outputs/runs/history/element_set_cgcnn_optimized_B2000_seed42.csv; validation MAE=0.278736."
cgcnn_optimized,cgcnn,B2000,2000,0.1320829480914014,15142,absolute_doubling_budgets,42,43,random_iid_seed_42_80_10_10,0.2552277217815619,0.349689907428646,0.7871943345391526,27.01924139581556,2000,1893,1893,eV/unit cell,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed43.csv,outputs/models/cgcnn/random_iid_cgcnn_optimized_B2000_seed43.pt,outputs/runs/history/random_iid_cgcnn_optimized_B2000_seed43.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/random_iid_cgcnn_optimized_B2000_seed43.pt; history_path=outputs/runs/history/random_iid_cgcnn_optimized_B2000_seed43.csv; validation MAE=0.251569."
cgcnn_optimized,cgcnn,B2000,2000,0.1320829480914014,15142,absolute_doubling_budgets,42,43,element_set_seed_42_80_10_10,0.2463564509244677,0.338262696844216,0.7977969529327021,29.458498922885,2000,1893,1893,eV/unit cell,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed43.csv,outputs/models/cgcnn/element_set_cgcnn_optimized_B2000_seed43.pt,outputs/runs/history/element_set_cgcnn_optimized_B2000_seed43.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/element_set_cgcnn_optimized_B2000_seed43.pt; history_path=outputs/runs/history/element_set_cgcnn_optimized_B2000_seed43.csv; validation MAE=0.254756."
