model_name,model_family,split_strategy,budget_name,model_seed,target_bin_scheme,target_bin,n_samples,mae,rmse,r2,mape,predictions_path,source_result_path
cgcnn_optimized,cgcnn,random_iid,B500,43,target_bin_5,middle_90,1684,0.3795812793562945,0.4879099841032319,0.2480973389454567,30.73692581521059,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,43,target_bin_5,high_5,105,1.1873637095238097,1.269248356526393,-7.054650108911076,34.37654129086315,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,43,target_bin_10,overall,1893,0.5430058632593766,0.7158470860002702,0.09443421618089232,71.68520290958149,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,43,target_bin_10,low_10,210,0.7975538177142858,0.8472647191947342,-14.773798901713157,387.688583704135,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,43,target_bin_10,middle_80,1495,0.38599032403344485,0.4772992916271203,-0.17850019945216822,30.25269674817593,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,43,target_bin_10,high_10,188,1.5072779946808514,1.5957230288250845,-8.119445202080955,48.17928133748091,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,43,target_bin_5,overall,1893,0.5430058632593766,0.7158470860002702,0.09443421618089232,71.68520290958149,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,43,target_bin_5,low_5,109,0.9077898121100919,0.9464107857101622,-25.415724209247482,636.0411419438936,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,43,target_bin_5,middle_90,1682,0.44160947837693226,0.5496889291860028,-0.046404834056615885,36.283602180875874,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,43,target_bin_5,high_5,102,1.825233990196079,1.88955627952317,-17.671939141823596,52.378291840393686,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,44,target_bin_10,overall,1893,0.44366421136185946,0.5809144452596827,0.41272523254272986,52.011879249376825,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,44,target_bin_10,low_10,195,0.6133008066769232,0.7358135249486513,-14.427370335859877,256.4292689087928,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,44,target_bin_10,middle_80,1491,0.35616778893762574,0.4573665815274532,0.0006124433288300368,28.731306968981606,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,44,target_bin_10,high_10,207,0.9140894758454107,1.0340669833248963,-3.3847588778572613,29.10742063006284,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,44,target_bin_5,overall,1893,0.44366421136185946,0.5809144452596827,0.41272523254272986,52.011879249376825,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,44,target_bin_5,low_5,104,0.6383829860769231,0.7659541269749407,-21.445844237200767,391.35896848137975,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,44,target_bin_5,middle_90,1684,0.38578820638717337,0.4928457309512731,0.23280774555922168,32.58197973981357,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B500,44,target_bin_5,high_5,105,1.179020780952381,1.267772984014353,-7.035935564104653,33.9789999392839,outputs/runs/predictions/random_iid_cgcnn_optimized_B500_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,44,target_bin_10,overall,1893,0.5347463305758056,0.693686070365719,0.14963489750907089,77.63237910999254,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,44,target_bin_10,low_10,210,0.8990896437619047,0.9659534421146803,-19.502671047483393,428.5895992404527,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,44,target_bin_10,middle_80,1495,0.3925000795919732,0.4948756905785049,-0.2668941254119239,33.07341278037643,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,44,target_bin_10,high_10,188,1.2589274446808512,1.3621791141455821,-5.64541070845324,39.94428568115985,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,44,target_bin_5,overall,1893,0.5347463305758056,0.693686070365719,0.14963489750907089,77.63237910999254,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,44,target_bin_5,low_5,109,0.9978064001834861,1.052364725333768,-31.661469783797962,696.5274559414921,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,44,target_bin_5,middle_90,1682,0.4422326363614745,0.5544910372464935,-0.06476757674509348,39.51734963212493,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B500,44,target_bin_5,high_5,102,1.5654765862745097,1.6361410009476083,-12.999457801522263,44.78842035646181,outputs/runs/predictions/element_set_cgcnn_optimized_B500_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,42,target_bin_10,overall,1893,0.2834775957143687,0.377829239429459,0.7515676670248383,27.82167142678541,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,42,target_bin_10,low_10,195,0.2521725268066667,0.34346453945118843,-2.361399904519052,108.35078260687582,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,42,target_bin_10,middle_80,1491,0.2566705245204561,0.33350984963844693,0.4685989485565758,18.950073508321864,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,42,target_bin_10,high_10,207,0.5060564922705314,0.627044218391658,-0.6122957462347636,16.640193352735704,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,42,target_bin_5,overall,1893,0.2834775957143687,0.377829239429459,0.7515676670248383,27.82167142678541,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,42,target_bin_5,low_5,104,0.2830177277625,0.3929842888996682,-4.908548434981093,169.84325575859862,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,42,target_bin_5,middle_90,1684,0.26390967517814723,0.34435558449012865,0.625461495247374,19.851756708340343,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,42,target_bin_5,high_5,105,0.5977652571428571,0.7203416145343147,-1.5943613753352177,17.680097941228816,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,42,target_bin_10,overall,1893,0.2746034171790808,0.3793708839910263,0.7456642119254271,31.125935176827173,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,42,target_bin_10,low_10,210,0.30495278590476194,0.39695983221625686,-2.462511158690043,131.17227870904722,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,42,target_bin_10,middle_80,1495,0.2382666807892977,0.32314866956799876,0.45980218254169525,18.882444629231326,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,42,target_bin_10,high_10,188,0.5296568930851063,0.6653993809120663,-0.5856895995214921,16.733840639005827,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,42,target_bin_5,overall,1893,0.2746034171790808,0.3793708839910263,0.7456642119254271,31.125935176827173,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,42,target_bin_5,low_5,109,0.331131238587156,0.42460056723523776,-4.3169710988441174,207.93104545832318,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,42,target_bin_5,middle_90,1682,0.24605940642925092,0.3325339806509904,0.617053751808285,20.35882975777054,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,42,target_bin_5,high_5,102,0.684892569607843,0.8092607061947393,-2.4248903126383023,19.73882041378998,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,43,target_bin_10,overall,1893,0.2552277221949287,0.3496899078403618,0.787194334038049,27.01924139581556,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,43,target_bin_10,low_10,195,0.28090234443589746,0.35653691183809255,-2.622141142778084,117.29283035950968,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,43,target_bin_10,middle_80,1491,0.22063605295103955,0.29690402816637357,0.5788495589517623,16.898919091170956,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,43,target_bin_10,high_10,207,0.48020176811594206,0.6029677928484528,-0.49085910809870326,15.74676741626062,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,43,target_bin_5,overall,1893,0.2552277221949287,0.3496899078403618,0.787194334038049,27.01924139581556,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,43,target_bin_5,low_5,104,0.31065346995192306,0.4020664309620651,-5.184805599403675,181.90879883740908,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,43,target_bin_5,middle_90,1684,0.23213115720902613,0.31160954227184506,0.6933071097500346,18.271012901781912,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,43,target_bin_5,high_5,105,0.5707547476190477,0.6979708975004135,-1.4357240792989288,16.860021633054735,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,43,target_bin_10,overall,1893,0.2463564502847332,0.3382626958690413,0.797796954098561,29.458498922884996,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,43,target_bin_10,low_10,210,0.29738984732857143,0.3816359609888965,-2.2003438102704598,131.1580836143913,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,43,target_bin_10,middle_80,1495,0.21757877160535116,0.29481340881722223,0.5503831843135152,17.194363574830245,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,43,target_bin_10,high_10,188,0.4181948345744681,0.5461503593473799,-0.06826214806901043,13.383868923552795,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,43,target_bin_5,overall,1893,0.2463564502847332,0.3382626958690413,0.797796954098561,29.458498922884996,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,43,target_bin_5,low_5,109,0.31669011769724764,0.4073433373598502,-3.893554101597208,207.9020711632326,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,43,target_bin_5,middle_90,1682,0.22551642393579074,0.30379031312887267,0.6803949743823265,18.776329995258234,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,43,target_bin_5,high_5,102,0.5148520833333333,0.6514284523769859,-1.2192345566013523,14.919859335339344,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed43.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,44,target_bin_10,overall,1893,0.3187591668071843,0.4332426909117378,0.6733523945306422,32.59581385700369,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,44,target_bin_10,low_10,195,0.3259524929025641,0.4241761571352693,-4.126829549812531,138.73103041880043,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,44,target_bin_10,middle_80,1491,0.2664623493293092,0.348514062141107,0.419709190517368,20.30800613405141,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,44,target_bin_10,high_10,207,0.688671515942029,0.8198305077950926,-1.7561098505139316,22.146656941521027,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,44,target_bin_5,overall,1893,0.3187591668071843,0.4332426909117378,0.6733523945306422,32.59581385700369,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,44,target_bin_5,low_5,104,0.3668111268846154,0.47521155221911093,-7.639814201231683,217.31153977732637,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,44,target_bin_5,middle_90,1684,0.2813815525950119,0.36840212640956704,0.5713266666391617,21.858563370527566,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B2000,44,target_bin_5,high_5,105,0.8706305809523811,0.9917566976996851,-3.9177193954696667,25.362726003221624,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,44,target_bin_10,overall,1893,0.24941479496460645,0.34794016265909156,0.7860616676640194,29.284458613279696,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,44,target_bin_10,low_10,210,0.28262654994285713,0.3716316010642663,-2.0347528484817787,130.04676193341473,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,44,target_bin_10,middle_80,1495,0.21739570567224079,0.2968739351663961,0.5440762467282461,16.940939618601696,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,44,target_bin_10,high_10,188,0.4669364436170213,0.6032156831283118,-0.3031627017404108,14.888060739956584,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,44,target_bin_5,overall,1893,0.24941479496460645,0.34794016265909156,0.7860616676640194,29.284458613279696,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,44,target_bin_5,low_5,109,0.3099873095229358,0.3991332782850846,-3.6982815411185834,209.36989122184443,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,44,target_bin_5,middle_90,1682,0.22559648027942925,0.3074396475942215,0.6726702310286269,18.37896828608173,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,element_set,B2000,44,target_bin_5,high_5,102,0.5774540225490196,0.7196496245137777,-1.7083947672989956,16.673895633019292,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed44.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
cgcnn_optimized,cgcnn,random_iid,B8000,42,target_bin_10,overall,1893,0.1595153092583201,0.22893928720047182,0.9087868104810913,17.141567976124307,outputs/runs/predictions/random_iid_cgcnn_optimized_B8000_seed42.csv,/home/arutamonofu/dev/study/nnchem/outputs/summary/results.csv
