split_strategy,budget_label,model,n_train,n_test,mae,rmse,r2,mae_low_10,mae_middle_80,mae_high_10
random_iid,500,dummy_mean,500,1893,0.5818601584786054,0.7591226504132368,-0.002861339559018683,1.040028717948718,0.3849780281690141,1.5683741062801932
random_iid,500,rf_starter_descriptors,500,1893,0.5258066561014264,0.6831818947237948,0.18775006268254035,0.8057251282051282,0.4102175720992622,1.0946917874396136
random_iid,1000,dummy_mean,1000,1893,0.5806729741151612,0.7603043264651511,-0.005985945517830604,1.021928717948718,0.3833250838363515,1.586474106280193
random_iid,1000,rf_starter_descriptors,1000,1893,0.5063885895404121,0.6627066255818397,0.23570747016675608,0.7795117948717948,0.3877749161636485,1.1034608695652175
random_iid,2000,dummy_mean,2000,1893,0.5825878763866879,0.758663516326585,-0.0016486011947061119,1.0497987179487178,0.38598058350100606,1.558604106280193
random_iid,2000,rf_starter_descriptors,2000,1893,0.49367057580559953,0.648729841056531,0.26760606227843087,0.7893702564102566,0.3801974513749161,1.032448309178744
random_iid,4000,dummy_mean,4000,1893,0.5830724828314844,0.7585019342867879,-0.0012219794178085497,1.0540787179487179,0.3866302951039571,1.5543241062801934
random_iid,4000,rf_starter_descriptors,4000,1893,0.4753299524564184,0.6278137909876244,0.3140717453534977,0.7772758974358975,0.3655264922870557,0.9817913043478261
random_iid,8000,dummy_mean,8000,1893,0.5832581880612784,0.7584470668080682,-0.001077134595991014,1.055698717948718,0.3868791079812206,1.5527041062801932
random_iid,8000,rf_starter_descriptors,8000,1893,0.4477198098256735,0.5984461773584394,0.37674297245598665,0.7194379487179486,0.34422320590207917,0.9372289855072463
random_iid,full,dummy_mean,15142,1893,0.5834022816090787,0.7584068751664198,-0.0009710392093735809,1.0569557183449667,0.3870721684042528,1.5514471058839445
random_iid,full,rf_starter_descriptors,15142,1893,0.4235478077126255,0.5751965324159457,0.4242293695673005,0.6591897435897436,0.33199812206572765,0.8609893719806764
group_element_set,500,dummy_mean,500,1917,0.5734511215440793,0.7454844701493136,-0.010928371304261386,1.1257793548387098,0.38176132100396304,1.4893819354838709
group_element_set,500,rf_starter_descriptors,500,1917,0.5164475743348983,0.6718139327444209,0.1790037064661849,0.9097714285714285,0.39733659180977543,1.0271075268817202
group_element_set,1000,dummy_mean,1000,1917,0.5693209076682317,0.7435626372572002,-0.005722813865074894,1.1043593548387096,0.37697030383091146,1.510801935483871
