split_strategy,seed,budget_label,n_train,target_mean,target_std,target_q10,target_q50,target_q90,n_elements_covered,n_reduced_formula_groups,n_element_set_groups,n_low_10,n_high_10,nearest_jaccard_mean,nearest_jaccard_q10,nearest_jaccard_q50,nearest_jaccard_q90
random_iid,7,1000,1000,1.44906,0.7319341801310033,0.6580000000000001,1.32,2.3420000000000005,56,974,957,100,91,0.675048424018313,0.5,0.6,0.8
random_iid,7,2000,2000,1.47228,0.7387568493362485,0.66,1.36,2.402000000000003,56,1904,1845,196,197,0.7385543229441802,0.6,0.75,1.0
random_iid,7,4000,4000,1.4683650000000001,0.7432707714116765,0.64,1.36,2.421999999999998,56,3603,3408,428,400,0.8152755766860362,0.6,0.75,1.0
random_iid,7,8000,8000,1.4701199999999999,0.7455667437065344,0.64,1.36,2.4420000000000073,56,6345,5741,853,825,0.8863884486705407,0.75,1.0,1.0
random_iid,8,500,500,1.5608000000000002,0.8064525351084002,0.6580000000000001,1.47,2.5820000000000007,56,493,490,50,65,0.6335094206726535,0.5,0.6,0.75
random_iid,8,1000,1000,1.50404,0.7901052744696399,0.62,1.42,2.5220000000000007,56,975,964,112,121,0.679705934143335,0.5,0.6666666666666666,0.8
random_iid,8,2000,2000,1.47982,0.7699020341388153,0.6,1.38,2.48,56,1907,1851,236,222,0.7396988906497622,0.6,0.75,1.0
random_iid,8,4000,4000,1.470565,0.7575083732269084,0.62,1.36,2.48,56,3598,3407,442,434,0.808742736397253,0.6,0.75,1.0
random_iid,8,8000,8000,1.4718725,0.7481270316601905,0.62,1.36,2.46,56,6341,5755,877,842,0.8859746434231379,0.75,1.0,1.0
random_iid,9,500,500,1.4525599999999999,0.7307957109495681,0.6,1.42,2.3820000000000006,56,491,489,59,46,0.6318365909491107,0.5,0.6,0.75
random_iid,9,1000,1000,1.44852,0.736744054201594,0.6,1.38,2.38,56,976,962,118,95,0.6695544990315195,0.5,0.6,0.8
random_iid,9,2000,2000,1.4613800000000001,0.7536232942490679,0.62,1.38,2.44,56,1900,1836,235,201,0.7230410283500617,0.6,0.75,1.0
random_iid,9,4000,4000,1.469645,0.7565282266475116,0.62,1.38,2.44,56,3583,3386,451,408,0.8026941362916006,0.6,0.75,1.0
random_iid,9,8000,8000,1.4647725,0.7369042351114666,0.62,1.38,2.42,56,6335,5747,861,791,0.8850149674238423,0.75,1.0,1.0
group_element_set,0,500,500,1.46552,0.7189325821768205,0.66,1.37,2.44,56,494,489,48,51,0.6213615023474177,0.5,0.6,0.75
group_element_set,0,1000,1000,1.4650999999999998,0.7420108962610792,0.64,1.38,2.46,56,968,949,105,106,0.6517562163102069,0.5,0.6,0.8
group_element_set,0,2000,2000,1.47317,0.7482956128844609,0.6580000000000001,1.36,2.46,56,1878,1824,200,208,0.6926882281342375,0.6,0.75,0.8
group_element_set,0,4000,4000,1.47989,0.738115432366696,0.66,1.38,2.46,56,3490,3271,399,411,0.7302295252999478,0.6,0.75,0.8
