split_strategy,count,mean,std,min,max,q05,q10,q25,q50,q75,q90,q95,fraction_eq_1_0,fraction_ge_0_75,fraction_ge_0_5,fraction_lt_0_5
group_element_set,1917,0.7718049034950444,0.03309500332760602,0.6,0.8,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.0,0.9603547209181011,1.0,0.0
group_reduced_formula,1892,0.8138389711064129,0.09625649115745384,0.6,1.0,0.75,0.75,0.75,0.8,0.8,1.0,1.0,0.1982029598308668,0.9825581395348837,1.0,0.0
random_iid,1893,0.9602658918823737,0.08828804519029948,0.6666666666666666,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.8288431061806656,0.9957739038563127,1.0,0.0
