epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,29,,,,0.2860766053199768,0.36068224906921387,0.13369157910346985
0,29,0.29353535175323486,0.369678258895874,0.14154651761054993,,,
1,59,,,,0.2792867124080658,0.35021480917930603,0.1260441243648529
1,59,0.2846430242061615,0.35595980286598206,0.13132663071155548,,,
2,89,,,,0.27352282404899597,0.34222590923309326,0.12036764621734619
2,89,0.27880552411079407,0.34719210863113403,0.12487487494945526,,,
3,119,,,,0.2678748369216919,0.33474665880203247,0.11526329070329666
3,119,0.2722325921058655,0.33841875195503235,0.11936955153942108,,,
4,149,,,,0.2627798616886139,0.3275706171989441,0.11038147658109665
4,149,0.26733267307281494,0.3305617570877075,0.11438437551259995,,,
5,179,,,,0.25680020451545715,0.32049742341041565,0.10584685951471329
5,179,0.26157304644584656,0.3251953423023224,0.10957031697034836,,,
6,209,,,,0.2514936029911041,0.3137803077697754,0.10157351195812225
6,209,0.2561538815498352,0.31868284940719604,0.10505777597427368,,,
7,239,,,,0.2465251386165619,0.30745017528533936,0.09753573685884476
7,239,0.2508678436279297,0.3107879161834717,0.10094710439443588,,,
8,269,,,,0.24114595353603363,0.3013981282711029,0.09386960417032242
8,269,0.24541768431663513,0.30274784564971924,0.09691119194030762,,,
9,299,,,,0.23663756251335144,0.29561322927474976,0.09036935120820999
9,299,0.24052512645721436,0.2976081371307373,0.09323404729366302,,,
10,329,,,,0.23160547018051147,0.2895137369632721,0.08683013170957565
10,329,0.23641236126422882,0.2928451895713806,0.08988779038190842,,,
11,359,,,,0.22730982303619385,0.2840745449066162,0.08374297618865967
11,359,0.23143471777439117,0.2860932946205139,0.08657857030630112,,,
12,389,,,,0.22289496660232544,0.279115229845047,0.08091329038143158
12,389,0.22675934433937073,0.28264907002449036,0.08330871164798737,,,
13,419,,,,0.21837382018566132,0.274138867855072,0.07819630950689316
13,419,0.22226186096668243,0.27703893184661865,0.08064772933721542,,,
14,449,,,,0.21480584144592285,0.26945164799690247,0.07560613006353378
14,449,0.21899284422397614,0.2720285952091217,0.07810242474079132,,,
15,479,,,,0.21099500358104706,0.265177458524704,0.07331957668066025
15,479,0.21474598348140717,0.26940852403640747,0.07552610337734222,,,
16,509,,,,0.20713472366333008,0.26075538992881775,0.07098248600959778
16,509,0.21093091368675232,0.26523977518081665,0.07317342609167099,,,
17,539,,,,0.20380328595638275,0.2567005455493927,0.06888889521360397
17,539,0.2071221023797989,0.25986671447753906,0.07087264209985733,,,
18,569,,,,0.20030857622623444,0.25266996026039124,0.06684336066246033
18,569,0.2037487030029297,0.25553688406944275,0.06871674954891205,,,
19,599,,,,0.1968972235918045,0.248618021607399,0.06478165835142136
19,599,0.19994193315505981,0.25178104639053345,0.06659667193889618,,,
20,629,,,,0.19379408657550812,0.24491268396377563,0.06293142586946487
20,629,0.19699294865131378,0.24762274324893951,0.06470977514982224,,,
21,659,,,,0.19042760133743286,0.24124564230442047,0.061151113361120224
21,659,0.193566232919693,0.24436385929584503,0.0628032311797142,,,
22,689,,,,0.187152698636055,0.23748277127742767,0.05936971306800842
22,689,0.19039888679981232,0.24117636680603027,0.06114580109715462,,,
23,719,,,,0.18450629711151123,0.23417578637599945,0.05774630606174469
23,719,0.18773138523101807,0.23709595203399658,0.059443581849336624,,,
24,749,,,,0.18114769458770752,0.2306264042854309,0.05609407648444176
24,749,0.18424475193023682,0.23475858569145203,0.057694368064403534,,,
25,779,,,,0.17820902168750763,0.22721856832504272,0.05452123284339905
25,779,0.18117475509643555,0.22925634682178497,0.056083474308252335,,,
26,809,,,,0.17547862231731415,0.2240152657032013,0.05301958695054054
26,809,0.17828619480133057,0.22561143338680267,0.054509274661540985,,,
27,839,,,,0.17250153422355652,0.22090740501880646,0.05162666365504265
27,839,0.17554108798503876,0.22429120540618896,0.05308142304420471,,,
28,869,,,,0.1697731614112854,0.21780067682266235,0.0502665638923645
28,869,0.17228397727012634,0.22161012887954712,0.05164400860667229,,,
29,899,,,,0.1671248972415924,0.2148526906967163,0.049015022814273834
29,899,0.16950349509716034,0.2193174958229065,0.05036018416285515,,,
30,929,,,,0.16437432169914246,0.21184977889060974,0.04768083244562149
30,929,0.16693004965782166,0.2137676477432251,0.048879604786634445,,,
31,959,,,,0.16179242730140686,0.2087867707014084,0.046359870582818985
31,959,0.16457118093967438,0.2106272429227829,0.047673746943473816,,,
32,989,,,,0.15930502116680145,0.2060178816318512,0.04520362988114357
32,989,0.1622021645307541,0.20903870463371277,0.0464840792119503,,,
33,1019,,,,0.15673194825649261,0.20328356325626373,0.04406101256608963
33,1019,0.1594352275133133,0.20801009237766266,0.045278243720531464,,,
34,1049,,,,0.15459665656089783,0.20063704252243042,0.042963676154613495
34,1049,0.15705455839633942,0.2041267603635788,0.044101275503635406,,,
35,1079,,,,0.15204399824142456,0.19785505533218384,0.04189696162939072
35,1079,0.15464559197425842,0.19983725249767303,0.04303017631173134,,,
36,1109,,,,0.14984701573848724,0.19525432586669922,0.040882524102926254
36,1109,0.15250399708747864,0.19887788593769073,0.04196958243846893,,,
37,1139,,,,0.14770346879959106,0.1925746649503708,0.03979570046067238
37,1139,0.15010274946689606,0.19466285407543182,0.04093874245882034,,,
38,1169,,,,0.14567813277244568,0.19027909636497498,0.03887033089995384
38,1169,0.1480153203010559,0.1923818439245224,0.03990010917186737,,,
39,1199,,,,0.14324094355106354,0.18771827220916748,0.037876974791288376
39,1199,0.14577072858810425,0.1910073608160019,0.03889669477939606,,,
40,1229,,,,0.14105790853500366,0.18518516421318054,0.036901894956827164
40,1229,0.14378497004508972,0.18835817277431488,0.03801324591040611,,,
41,1259,,,,0.13874152302742004,0.18271949887275696,0.03598017618060112
41,1259,0.14120016992092133,0.18731850385665894,0.03701237216591835,,,
42,1289,,,,0.13685639202594757,0.18046177923679352,0.03511073440313339
42,1289,0.1392895132303238,0.18468202650547028,0.03607764095067978,,,
43,1319,,,,0.13479158282279968,0.1780211627483368,0.03424442559480667
43,1319,0.13715435564517975,0.1826232224702835,0.03523468226194382,,,
44,1349,,,,0.13295072317123413,0.1758178323507309,0.03342098370194435
44,1349,0.13529832661151886,0.180895134806633,0.03440633416175842,,,
45,1379,,,,0.1312110424041748,0.17373907566070557,0.03263849765062332
45,1379,0.133610337972641,0.17820720374584198,0.033598218113183975,,,
46,1409,,,,0.12898492813110352,0.17133978009223938,0.03181414306163788
46,1409,0.13149923086166382,0.17528343200683594,0.032749682664871216,,,
47,1439,,,,0.12687934935092926,0.16925878822803497,0.031057685613632202
47,1439,0.1293053776025772,0.17294879257678986,0.03195953369140625,,,
48,1469,,,,0.12590675055980682,0.16726921498775482,0.030319703742861748
48,1469,0.12808455526828766,0.17246930301189423,0.03118819184601307,,,
49,1499,,,,0.12378329783678055,0.16496627032756805,0.029550619423389435
49,1499,0.12600237131118774,0.1700873076915741,0.03042430616915226,,,
