epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,946,,,,0.25468748807907104,0.32451531291007996,0.0545593798160553
0,946,0.32034602761268616,0.4056263566017151,0.08782581984996796,,,
1,1893,,,,0.2262876033782959,0.287837952375412,0.04288625717163086
1,1893,0.2371620386838913,0.2997804284095764,0.04682208597660065,,,
2,2840,,,,0.2098788172006607,0.26583176851272583,0.03648797795176506
2,2840,0.2156752049922943,0.27168411016464233,0.03845909237861633,,,
3,3787,,,,0.20153026282787323,0.25418612360954285,0.03338804841041565
3,3787,0.20309120416641235,0.25548049807548523,0.03391515836119652,,,
4,4734,,,,0.20239606499671936,0.2549682855606079,0.03367770463228226
4,4734,0.19456815719604492,0.24409282207489014,0.031031502410769463,,,
5,5681,,,,0.1945355385541916,0.24565716087818146,0.03126934915781021
5,5681,0.18779945373535156,0.2352108210325241,0.02885550446808338,,,
6,6628,,,,0.19115202128887177,0.24160803854465485,0.030356084927916527
6,6628,0.1826712191104889,0.22902235388755798,0.02732733264565468,,,
7,7575,,,,0.1832803338766098,0.2335605025291443,0.028392333537340164
7,7575,0.17679189145565033,0.22271226346492767,0.025808347389101982,,,
8,8522,,,,0.187886044383049,0.23585167527198792,0.029195694252848625
8,8522,0.17227418720722198,0.2165079414844513,0.024371245875954628,,,
9,9469,,,,0.18388213217258453,0.23050394654273987,0.027694975957274437
9,9469,0.1688818484544754,0.21215860545635223,0.023459654301404953,,,
10,10416,,,,0.17854726314544678,0.22586743533611298,0.026540007442235947
10,10416,0.16603296995162964,0.20841291546821594,0.022611308842897415,,,
11,11363,,,,0.18653152883052826,0.2315954566001892,0.028042716905474663
11,11363,0.16351644694805145,0.20554426312446594,0.021970773115754128,,,
12,12310,,,,0.17509029805660248,0.22270862758159637,0.02602466009557247
12,12310,0.16061554849147797,0.2018921673297882,0.021179061383008957,,,
13,13257,,,,0.17640982568264008,0.22476814687252045,0.026638809591531754
13,13257,0.15893016755580902,0.19930016994476318,0.02070489712059498,,,
14,14204,,,,0.17263853549957275,0.21828608214855194,0.02501235343515873
14,14204,0.155701145529747,0.19567157328128815,0.019941961392760277,,,
15,15151,,,,0.17264717817306519,0.2187844216823578,0.025152241811156273
15,15151,0.15506583452224731,0.19417652487754822,0.01964770257472992,,,
16,16098,,,,0.1735820472240448,0.22032448649406433,0.025603123009204865
16,16098,0.1525222808122635,0.19198474287986755,0.019142048433423042,,,
17,17045,,,,0.16750004887580872,0.21254585683345795,0.02386092208325863
17,17045,0.1518983691930771,0.19010713696479797,0.018785925582051277,,,
18,17992,,,,0.16899120807647705,0.21352878212928772,0.02404167875647545
18,17992,0.14901332557201385,0.1868102252483368,0.018172072246670723,,,
19,18939,,,,0.1674554944038391,0.2115703821182251,0.023745546117424965
19,18939,0.14796565473079681,0.18547356128692627,0.0179100651293993,,,
20,19886,,,,0.1684306114912033,0.21443751454353333,0.024250343441963196
20,19886,0.14679232239723206,0.18361544609069824,0.017522692680358887,,,
21,20833,,,,0.1656179577112198,0.209930881857872,0.02327534928917885
21,20833,0.14549857378005981,0.18221515417099,0.017263388261198997,,,
22,21780,,,,0.16646158695220947,0.21093341708183289,0.023649120703339577
22,21780,0.14414669573307037,0.18056300282478333,0.016974978148937225,,,
23,22727,,,,0.16711214184761047,0.21067389845848083,0.023441357538104057
