epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,124,,,,0.3957853615283966,0.5022809505462646,0.12741170823574066
0,124,0.4817553758621216,0.6061933636665344,0.1850455105304718,,,
1,249,,,,0.34460195899009705,0.43847331404685974,0.09831250458955765
1,249,0.3545773923397064,0.4542834758758545,0.10609811544418335,,,
2,374,,,,0.31369850039482117,0.3966323733329773,0.0809326022863388
2,374,0.31230103969573975,0.40309807658195496,0.0832284688949585,,,
3,499,,,,0.2881832718849182,0.36759430170059204,0.0697653740644455
3,499,0.2830653190612793,0.35931408405303955,0.06773947924375534,,,
4,624,,,,0.2754993140697479,0.351026713848114,0.06372863799333572
4,624,0.26107117533683777,0.331655353307724,0.05709197744727135,,,
5,749,,,,0.269241601228714,0.3407420217990875,0.06000376492738724
5,749,0.24789224565029144,0.31346410512924194,0.05116519331932068,,,
6,874,,,,0.2646191716194153,0.3389746844768524,0.059621941298246384
6,874,0.23670805990695953,0.2989886701107025,0.04664229974150658,,,
7,999,,,,0.26269862055778503,0.3334166705608368,0.05735514312982559
7,999,0.22724464535713196,0.28600552678108215,0.04257410019636154,,,
8,1124,,,,0.26025938987731934,0.3300168216228485,0.056374549865722656
8,1124,0.21934464573860168,0.2751770615577698,0.039546508342027664,,,
9,1249,,,,0.2518177926540375,0.32217317819595337,0.053686585277318954
9,1249,0.21548162400722504,0.2719573378562927,0.03826324641704559,,,
10,1374,,,,0.252700537443161,0.32094088196754456,0.05337845906615257
10,1374,0.2075200229883194,0.26018044352531433,0.03497256338596344,,,
11,1499,,,,0.24700595438480377,0.3131798207759857,0.0509030781686306
11,1499,0.20268315076828003,0.25435763597488403,0.03367261961102486,,,
12,1624,,,,0.24480736255645752,0.31182923913002014,0.050467245280742645
12,1624,0.19735044240951538,0.24734224379062653,0.03193266689777374,,,
13,1749,,,,0.2419564425945282,0.3087780773639679,0.04956173896789551
13,1749,0.19158422946929932,0.2404995560646057,0.030016375705599785,,,
14,1874,,,,0.242836594581604,0.30915677547454834,0.049702368676662445
14,1874,0.18683484196662903,0.23450027406215668,0.028660092502832413,,,
15,1999,,,,0.24159029126167297,0.308684766292572,0.04951414093375206
15,1999,0.18203970789909363,0.22899243235588074,0.027347911149263382,,,
16,2124,,,,0.2431737184524536,0.30842551589012146,0.049412038177251816
16,2124,0.1788494884967804,0.22577056288719177,0.026539791375398636,,,
17,2249,,,,0.2379521131515503,0.3036060333251953,0.04799685999751091
17,2249,0.17624984681606293,0.22082217037677765,0.025477390736341476,,,
18,2374,,,,0.24234534800052643,0.3079054355621338,0.049273282289505005
18,2374,0.17187592387199402,0.2168411910533905,0.024313822388648987,,,
19,2499,,,,0.2400994896888733,0.3061407804489136,0.04879501834511757
