epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,29,,,,1.0307040214538574,1.2790082693099976,1.6807208061218262
0,29,1.6652294397354126,1.8574053049087524,3.6160807609558105,,,
1,59,,,,0.6845616698265076,0.8840470314025879,0.80137038230896
1,59,0.8138646483421326,1.0380576848983765,1.1400549411773682,,,
2,89,,,,0.5258684158325195,0.681824803352356,0.4786949157714844
2,89,0.5983392596244812,0.7670405507087708,0.6353214383125305,,,
3,119,,,,0.47688183188438416,0.6027593016624451,0.3741319477558136
3,119,0.5065711140632629,0.6420184373855591,0.4345870912075043,,,
4,149,,,,0.44698798656463623,0.5647333860397339,0.32677769660949707
4,149,0.46929800510406494,0.5911784768104553,0.35967811942100525,,,
5,179,,,,0.42121267318725586,0.5303862690925598,0.2884739637374878
5,179,0.43686729669570923,0.5465299487113953,0.3104671239852905,,,
6,209,,,,0.4011511504650116,0.502349317073822,0.2584977149963379
6,209,0.41543594002723694,0.5232404470443726,0.2796681821346283,,,
7,239,,,,0.38697174191474915,0.48192906379699707,0.23801812529563904
7,239,0.3966270685195923,0.4914986193180084,0.2531369924545288,,,
8,269,,,,0.3650427460670471,0.4585183262825012,0.21489070355892181
8,269,0.3802799880504608,0.47728919982910156,0.2347274273633957,,,
9,299,,,,0.35011133551597595,0.4404456317424774,0.19830377399921417
9,299,0.3625451624393463,0.45300543308258057,0.21347837150096893,,,
10,329,,,,0.3359127938747406,0.4237467348575592,0.18353252112865448
10,329,0.3496410846710205,0.4394876956939697,0.19825799763202667,,,
11,359,,,,0.3267483413219452,0.4095630347728729,0.17179803550243378
11,359,0.3376026749610901,0.4261358678340912,0.18785859644412994,,,
12,389,,,,0.31597912311553955,0.39553961157798767,0.16043639183044434
12,389,0.32696500420570374,0.4069324731826782,0.17142629623413086,,,
13,419,,,,0.3029956519603729,0.3825969994068146,0.1501718908548355
13,419,0.3157651424407959,0.3928678035736084,0.16028651595115662,,,
14,449,,,,0.2930699586868286,0.3722536563873291,0.14244595170021057
14,449,0.3040422201156616,0.38053861260414124,0.15162307024002075,,,
