epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,31,,,,0.5027596950531006,0.6317152976989746,0.19612686336040497
0,31,0.6225146651268005,0.7437489628791809,0.27222129702568054,,,
1,63,,,,0.43254607915878296,0.5601468682289124,0.15616081655025482
1,63,0.4665677845478058,0.6025674343109131,0.17645275592803955,,,
2,95,,,,0.38350245356559753,0.4929690659046173,0.1226281151175499
2,95,0.4128764569759369,0.5351542234420776,0.14333656430244446,,,
3,127,,,,0.3546813726425171,0.45449304580688477,0.1050579771399498
3,127,0.37563806772232056,0.4807981550693512,0.11703495681285858,,,
4,159,,,,0.33011263608932495,0.4248362183570862,0.09281895309686661
4,159,0.3513389229774475,0.4470633268356323,0.10214865207672119,,,
5,191,,,,0.31477898359298706,0.401358962059021,0.08287365734577179
5,191,0.32829681038856506,0.421492338180542,0.09118551760911942,,,
6,223,,,,0.29408392310142517,0.3781660795211792,0.07409413903951645
6,223,0.3098147213459015,0.3957298994064331,0.08138584345579147,,,
7,255,,,,0.2800547778606415,0.35699033737182617,0.06600239127874374
7,255,0.29298025369644165,0.3756413459777832,0.07238985598087311,,,
8,287,,,,0.26218125224113464,0.33785080909729004,0.05924687907099724
8,287,0.2766183912754059,0.3544844090938568,0.06490615010261536,,,
9,319,,,,0.24764882028102875,0.32063329219818115,0.053451452404260635
9,319,0.2646554708480835,0.33696991205215454,0.05899810791015625,,,
10,351,,,,0.2383960783481598,0.30607089400291443,0.0484507754445076
10,351,0.25023964047431946,0.3167473375797272,0.05311127007007599,,,
11,383,,,,0.23817326128482819,0.298356294631958,0.04588759317994118
11,383,0.23999232053756714,0.30537718534469604,0.048720378428697586,,,
12,415,,,,0.22090379893779755,0.2821057438850403,0.0411195307970047
12,415,0.22808578610420227,0.29377955198287964,0.04470694437623024,,,
13,447,,,,0.20950528979301453,0.2700751721858978,0.03779169172048569
13,447,0.22080671787261963,0.28021496534347534,0.041370753198862076,,,
14,479,,,,0.2038879543542862,0.2609125077724457,0.0352395735681057
14,479,0.21160081028938293,0.2721400260925293,0.03832130879163742,,,
15,511,,,,0.19576795399188995,0.253343790769577,0.03334445133805275
15,511,0.2061977982521057,0.2612434923648834,0.035869110375642776,,,
16,543,,,,0.193264439702034,0.24911163747310638,0.032299213111400604
16,543,0.20240552723407745,0.25730517506599426,0.03425894305109978,,,
17,575,,,,0.1861581653356552,0.23802420496940613,0.029443591833114624
17,575,0.20052608847618103,0.2516217529773712,0.033174242824316025,,,
18,607,,,,0.18298421800136566,0.2324678748846054,0.02810511738061905
18,607,0.18854276835918427,0.2417653650045395,0.030260445550084114,,,
19,639,,,,0.17872381210327148,0.22642549872398376,0.02668929100036621
19,639,0.18499326705932617,0.23413090407848358,0.02866179682314396,,,
20,671,,,,0.17637227475643158,0.22196878492832184,0.02561483345925808
20,671,0.18103334307670593,0.22753891348838806,0.027315746992826462,,,
21,703,,,,0.17095427215099335,0.21709586679935455,0.024546386674046516
21,703,0.17632348835468292,0.2239738553762436,0.025942958891391754,,,
22,735,,,,0.17356052994728088,0.21638521552085876,0.024425417184829712
22,735,0.17367048561573029,0.21890108287334442,0.02493390440940857,,,
23,767,,,,0.16505813598632812,0.2087293565273285,0.022702639922499657
23,767,0.17120105028152466,0.21590344607830048,0.024255618453025818,,,
24,799,,,,0.1621476411819458,0.2050340622663498,0.02193332277238369
24,799,0.1685790866613388,0.2111106961965561,0.023435726761817932,,,
25,831,,,,0.1598431020975113,0.2031693160533905,0.021492784842848778
25,831,0.16582036018371582,0.20696501433849335,0.022588802501559258,,,
26,863,,,,0.15813644230365753,0.19961853325366974,0.020739994943141937
26,863,0.16453570127487183,0.205702543258667,0.022137697786092758,,,
27,895,,,,0.15486207604408264,0.19664600491523743,0.02014783024787903
27,895,0.15936429798603058,0.2011854499578476,0.0211630892008543,,,
28,927,,,,0.15352854132652283,0.19422313570976257,0.01962950825691223
28,927,0.15682829916477203,0.1975133717060089,0.020506232976913452,,,
29,959,,,,0.1516464799642563,0.19199879467487335,0.019186772406101227
29,959,0.15548495948314667,0.1970961093902588,0.02005542442202568,,,
30,991,,,,0.1495378017425537,0.18999461829662323,0.01878649927675724
30,991,0.15336735546588898,0.1927170753479004,0.01961282454431057,,,
31,1023,,,,0.1490425318479538,0.18843846023082733,0.018490392714738846
31,1023,0.15194886922836304,0.19175170361995697,0.019210096448659897,,,
32,1055,,,,0.14757788181304932,0.1871989220380783,0.01823868788778782
32,1055,0.15088722109794617,0.18960057199001312,0.01881312020123005,,,
33,1087,,,,0.14689791202545166,0.1864881068468094,0.018098609521985054
33,1087,0.15036387741565704,0.19021539390087128,0.018847528845071793,,,
34,1119,,,,0.14490634202957153,0.1839529126882553,0.017626849934458733
34,1119,0.147280752658844,0.1862952560186386,0.018195994198322296,,,
35,1151,,,,0.1442173421382904,0.18277262151241302,0.01738685555756092
