epoch,train_loss,val_mae,val_rmse,val_r2,best_val_mae,lr,improved,bad_epochs
1,0.905920788409218,0.5829068040923348,0.7389126595582723,-0.0016579961246150354,0.5829068040923348,0.0003,True,0
2,0.7399072126736717,0.5450049835289211,0.6841619423328069,0.14128100018597423,0.5450049835289211,0.0003,True,0
3,0.6154818984251174,0.4942822961648558,0.6343980519997586,0.2616590954043492,0.4942822961648558,0.0003,True,0
4,0.48610028955671525,0.8159257819535426,0.9783532467586539,-0.756000474734208,0.4942822961648558,0.0003,False,1
5,0.4016798971191285,0.6492192441939802,0.7773360862368908,-0.10853882076270116,0.4942822961648558,0.0003,False,2
6,0.3514311739376613,0.7176503721482528,0.8734812063011176,-0.3997174541722086,0.4942822961648558,0.0003,False,3
7,0.326085515911617,0.5774528507536452,0.7105917315527013,0.07365332447661577,0.4942822961648558,0.0003,False,4
8,0.28460427267210825,0.4672788371299224,0.6082643895112788,0.3212372021310329,0.4672788371299224,0.0003,True,0
9,0.2668251645943475,0.4456878281269386,0.5371178706369274,0.47073588126851673,0.4456878281269386,0.0003,True,0
10,0.2505293490867766,0.3213513949278859,0.41406618011301694,0.6854622559915048,0.3213513949278859,0.0003,True,0
11,0.24536972457454317,1.1403710434818417,1.426763536691564,-2.734541167125996,0.3213513949278859,0.0003,False,1
12,0.2377223488357332,0.46195758331911435,0.5529769188485751,0.43902015718740295,0.3213513949278859,0.0003,False,2
13,0.22493709079802982,1.4000918821462298,1.7803458455732557,-4.814896629408965,0.3213513949278859,0.0003,False,3
14,0.2089059870867502,1.4408243027277492,1.7678416096735874,-4.733501772842612,0.3213513949278859,0.0003,False,4
15,0.20870011027843233,0.3245898003535364,0.40940718202921306,0.6925006785200295,0.3213513949278859,0.0003,False,5
16,0.19885325195297363,0.33347502346084157,0.42259136307797734,0.6723769257629868,0.3213513949278859,0.0003,False,6
17,0.19827270176675585,0.5355181001823414,0.6484281862835385,0.22864017193172526,0.3213513949278859,0.0003,False,7
18,0.1870258463517068,0.426058147715565,0.5177913223829097,0.5081385525322929,0.3213513949278859,0.0003,False,8
19,0.18450607442193562,0.7722726823713058,0.9094464530756812,-0.5173560995137068,0.3213513949278859,0.00015,False,9
20,0.17386960983276367,0.25250323659959323,0.34776717997246975,0.7781239451400488,0.25250323659959323,0.00015,True,0
21,0.17182313993809714,0.44490262241509626,0.5572981894807245,0.4302182797432519,0.25250323659959323,0.00015,False,1
22,0.16344508635146276,0.6294088779450471,0.759236501778639,-0.05751711977956542,0.25250323659959323,0.00015,False,2
23,0.155755115525117,0.26826952661714787,0.3493071125347382,0.7761546354549803,0.25250323659959323,0.00015,False,3
24,0.17012244581230104,0.43233238629166315,0.5073620512370615,0.5277529987778873,0.25250323659959323,0.00015,False,4
25,0.15939047577835264,0.22614631193753468,0.30899230396025423,0.8248425664988037,0.22614631193753468,0.00015,True,0
26,0.163999319667854,0.47233221045386775,0.5527682795986917,0.4394433948649701,0.22614631193753468,0.00015,False,1
27,0.15824681721509448,0.6384285304021154,0.7711478765902204,-0.0909593831185529,0.22614631193753468,0.00015,False,2
28,0.15861237959729302,0.3656124572507049,0.44432224070415344,0.6378159232189441,0.22614631193753468,0.00015,False,3
29,0.15770178453789818,0.65720055403057,0.790148126331289,-0.1453817975335956,0.22614631193753468,0.00015,False,4
30,0.15878494935376303,0.5128118029650846,0.6097184569122648,0.31798813295720096,0.22614631193753468,0.00015,False,5
31,0.15253161556190914,0.395288075220629,0.5363426238592954,0.47226260087763294,0.22614631193753468,0.00015,False,6
32,0.15693189002691754,0.5303788002294267,0.6419385710528793,0.24400279454690743,0.22614631193753468,0.00015,False,7
33,0.15629022450201094,0.789165214742861,0.9591104603560867,-0.6876038322931359,0.22614631193753468,0.00015,False,8
34,0.15406973317028985,0.40661370382444983,0.49198947565232193,0.5559367090222403,0.22614631193753468,7.5e-05,False,9
35,0.1475977384381824,0.27137439509642175,0.34511310606086254,0.7814976296394754,0.22614631193753468,7.5e-05,False,10
36,0.1447871916350864,0.22437745418362182,0.30819816429674646,0.8257417521036299,0.22437745418362182,7.5e-05,True,0
37,0.14112072804617504,0.23590798350408226,0.30945567726526474,0.8243168308403208,0.22437745418362182,7.5e-05,False,1
38,0.14343249655905224,0.24342585548797865,0.3142226863441877,0.81886251974741,0.22437745418362182,7.5e-05,False,2
39,0.14181229732339345,0.2723274208576164,0.342449441560948,0.7848575190467533,0.22437745418362182,7.5e-05,False,3
40,0.13943471061804938,0.23011823131744658,0.3106074290850257,0.8230066596464498,0.22437745418362182,7.5e-05,False,4
