epoch,train_loss,val_mae,val_rmse,val_r2,best_val_mae,lr,improved,bad_epochs
1,0.8611047217825881,0.48244734571777326,0.6487020087645329,0.27614331076452614,0.48244734571777326,0.0003,True,0
2,0.5412010976246425,0.7855129462376639,0.917090061462657,-0.4467253140859764,0.48244734571777326,0.0003,False,1
3,0.3724052194787675,0.6648755953567592,0.831045092063681,-0.18798589589235415,0.48244734571777326,0.0003,False,2
4,0.31638203886877586,0.6591400136370793,0.7914169022601194,-0.07738952573355595,0.48244734571777326,0.0003,False,3
5,0.28013324311801363,0.4257291120633963,0.5170835641902136,0.5400786462582935,0.4257291120633963,0.0003,True,0
6,0.24537802894576258,0.4442810925263547,0.6069632231785215,0.3662953977062209,0.4257291120633963,0.0003,False,1
7,0.23280738456910396,0.4111870780484864,0.5128121403059772,0.5476457210262011,0.4111870780484864,0.0003,True,0
8,0.2142126453774316,0.5199853768892787,0.622499054096027,0.33343961627956,0.4111870780484864,0.0003,False,1
9,0.19934191235474177,0.5016409940349319,0.6324776906722018,0.31189846103476604,0.4111870780484864,0.0003,False,2
10,0.18408352023914082,0.6867317207440206,0.8005950770670396,-0.10252370815914524,0.4111870780484864,0.0003,False,3
11,0.18017022029942825,0.3484360473620722,0.4460676714045708,0.6577341219067023,0.3484360473620722,0.0003,True,0
12,0.16528084567364523,0.4342338418381213,0.5143538105947464,0.5449218018065973,0.3484360473620722,0.0003,False,1
13,0.16428807960087513,1.8071656897404305,2.24829135098037,-7.694953948088012,0.3484360473620722,0.0003,False,2
14,0.16033527161143407,0.8388264578924063,1.0270904064575808,-0.8145939225613226,0.3484360473620722,0.0003,False,3
15,0.15555029049390504,0.26937325664632106,0.35404509584662386,0.7843848501355642,0.26937325664632106,0.0003,True,0
16,0.1482143099693691,0.8512684062669597,1.0487965399447894,-0.8921022337143323,0.26937325664632106,0.0003,False,1
17,0.14263473570096394,0.9374450868421677,1.1504243212361656,-1.2765553604301467,0.26937325664632106,0.0003,False,2
18,0.13675171262075922,0.39376814525088366,0.4839264321853714,0.5971709383949072,0.26937325664632106,0.0003,False,3
19,0.12520941672455363,0.35092549922412114,0.4496440323470462,0.6522238668877425,0.26937325664632106,0.0003,False,4
20,0.11956569289459902,0.31204205283776076,0.37959796237851073,0.7521380559519337,0.26937325664632106,0.0003,False,5
21,0.11011578825091113,0.17122511482843317,0.22715620817071736,0.9112412192755269,0.17122511482843317,0.0003,True,0
22,0.10094132578047384,0.3260061763457628,0.4020960517680166,0.7218867219295867,0.17122511482843317,0.0003,False,1
23,0.09851158357092313,0.581098758622697,0.7060056997273751,0.1426097885261559,0.17122511482843317,0.0003,False,2
24,0.09334685606490664,0.40109611937310796,0.4891931908290474,0.5883549349037738,0.17122511482843317,0.0003,False,3
25,0.09205822192695963,0.4243934349313465,0.5048667817725676,0.5615544160891912,0.17122511482843317,0.0003,False,4
26,0.09100839680358142,0.17376820768556833,0.23187783838868653,0.9075130212118985,0.17122511482843317,0.0003,False,5
27,0.0882157087952149,0.20494374462113582,0.26367778245202056,0.8804060578281845,0.17122511482843317,0.0003,False,6
28,0.08716869072503403,0.26057017650417846,0.32541625880024544,0.817845207406392,0.17122511482843317,0.0003,False,7
29,0.08141663056962631,0.9067242158901359,1.115386498992551,-1.1399955648505204,0.17122511482843317,0.0003,False,8
30,0.0786489840878659,0.2908654082608614,0.3678961511693264,0.7671841222355579,0.17122511482843317,0.00015,False,9
31,0.07219978390621538,0.1670077839807046,0.21496391498513703,0.9205135259344772,0.1670077839807046,0.00015,True,0
32,0.07111680676706698,0.17188331713956057,0.22111983241771446,0.9158958357241662,0.1670077839807046,0.00015,False,1
33,0.07209905412267237,0.18684680799422787,0.23659999273098725,0.9037076999405306,0.1670077839807046,0.00015,False,2
34,0.06861564557717628,0.13727483016753161,0.17929661293500684,0.9447024006605662,0.13727483016753161,0.00015,True,0
35,0.06824164358632905,0.15263409155862268,0.19679766795659565,0.9333804028618494,0.13727483016753161,0.00015,False,1
36,0.06803502117385384,0.12770163194376266,0.17243069419523935,0.9488564041091371,0.12770163194376266,0.00015,True,0
37,0.06908265200733137,0.28068554540695617,0.34232201143409235,0.7984272794966141,0.12770163194376266,0.00015,False,1
38,0.06698347371415932,0.16863191090118804,0.2176944476580477,0.9184813814325963,0.12770163194376266,0.00015,False,2
39,0.06759560615325175,0.14138226110974259,0.18781042564761766,0.9393261574110806,0.12770163194376266,0.00015,False,3
40,0.06971477275761236,0.5730436812439609,0.6748100692903831,0.21670525072151303,0.12770163194376266,0.00015,False,4
41,0.06458399535602882,0.23111219478043943,0.27582817504893115,0.8691302241264736,0.12770163194376266,0.00015,False,5
42,0.0636115094662464,0.2800141246483808,0.3358452940659885,0.8059826175464657,0.12770163194376266,0.00015,False,6
43,0.06465666233992376,0.18314861272921718,0.2327902831883206,0.9067837121904491,0.12770163194376266,0.00015,False,7
44,0.06482881088467206,0.1638979605613281,0.20778947375618373,0.9257307235419372,0.12770163194376266,0.00015,False,8
45,0.06366160079962065,0.17962805675943883,0.22317085986612104,0.9143283601063052,0.12770163194376266,7.5e-05,False,9
46,0.0604484595921861,0.12252091974539538,0.16356401355371383,0.9539809526340333,0.12252091974539538,7.5e-05,True,0
47,0.0629519393839756,0.1921784813342369,0.23673423782270928,0.9035983978583033,0.12252091974539538,7.5e-05,False,1
48,0.060607443180154354,0.145398533809015,0.18620865132444633,0.9403566792224884,0.12252091974539538,7.5e-05,False,2
49,0.060160123907467895,0.12388002935818623,0.16196234572758345,0.9548778045066896,0.12252091974539538,7.5e-05,False,3
50,0.05935683630469466,0.27660487430787123,0.3236210982286013,0.8198493799216346,0.12252091974539538,7.5e-05,False,4
51,0.0597189255371815,0.12026847937594502,0.16161838286886582,0.9550692549185265,0.12026847937594502,7.5e-05,True,0
52,0.05750902554317683,0.20516036862994527,0.25208729362012006,0.8906889620553923,0.12026847937594502,7.5e-05,False,1
53,0.058220899405599644,0.11579221942471375,0.15279501174715227,0.9598412247863577,0.11579221942471375,7.5e-05,True,0
54,0.0591796759296866,0.15457662003039055,0.18854634007823923,0.9388497383230645,0.11579221942471375,7.5e-05,False,1
55,0.05820379024293242,0.15156890678456142,0.19095703217976023,0.9372760472149567,0.11579221942471375,7.5e-05,False,2
56,0.0568110153016423,0.12112087839945748,0.15889656187551232,0.9565698722233733,0.11579221942471375,7.5e-05,False,3
57,0.05796265336019652,0.18994940723871595,0.22774029365824652,0.9107841825291184,0.11579221942471375,7.5e-05,False,4
58,0.05968693881726064,0.12616301975487026,0.16939123157311836,0.950643545157728,0.11579221942471375,7.5e-05,False,5
59,0.05769540233334072,0.2083457114554182,0.2622081849476069,0.8817354468706367,0.11579221942471375,7.5e-05,False,6
60,0.05707019993237087,0.2129988114467325,0.25117553101424095,0.8914782559326926,0.11579221942471375,7.5e-05,False,7
61,0.05672835868571987,0.17187888774302543,0.21161224105153326,0.9229728765318393,0.11579221942471375,7.5e-05,False,8
62,0.05524145649010394,0.24946514494886363,0.29704367869111387,0.848224128250264,0.11579221942471375,3.75e-05,False,9
63,0.054807128306446955,0.10331291139535154,0.14117696302058783,0.9657161349499739,0.10331291139535154,3.75e-05,True,0
64,0.05556586425469703,0.11559721025032653,0.15400687190430257,0.9592016775368626,0.10331291139535154,3.75e-05,False,1
65,0.05617380799616084,0.13510701184668242,0.17177553909438883,0.9492443087397523,0.10331291139535154,3.75e-05,False,2
66,0.05473369838935988,0.14508058675684377,0.17861453624041407,0.9451223245133695,0.10331291139535154,3.75e-05,False,3
67,0.05250848125384635,0.1965912889338522,0.2331524792040412,0.9064934179994811,0.10331291139535154,3.75e-05,False,4
68,0.053990048520705276,0.12369716108254637,0.16359281892620445,0.9539647423137062,0.10331291139535154,3.75e-05,False,5
69,0.05609875832911299,0.12047400935893958,0.15483521019903715,0.9587616231874441,0.10331291139535154,3.75e-05,False,6
70,0.055199073330194005,0.12559743236122595,0.16115596046515998,0.9553259987273407,0.10331291139535154,3.75e-05,False,7
71,0.0534978764710807,0.11124594947489493,0.14855201713952176,0.9620406110095654,0.10331291139535154,3.75e-05,False,8
72,0.05207693681684362,0.1295631729177363,0.16219544621711568,0.9547478289286376,0.10331291139535154,1.875e-05,False,9
73,0.051885423680939596,0.10814548541551157,0.14323435283203384,0.9647096076400153,0.10331291139535154,1.875e-05,False,10
74,0.05111069363706252,0.10139985141587901,0.13878148994531292,0.9668697130041344,0.10139985141587901,1.875e-05,True,0
75,0.05176353052321101,0.11374141232021512,0.1503288721441624,0.9611271032448175,0.10139985141587901,1.875e-05,False,1
76,0.051556414400203886,0.1373538646116121,0.17468025653792255,0.9475132419279355,0.10139985141587901,1.875e-05,False,2
77,0.05520386536832617,0.10365159824923491,0.13916803795893146,0.9666849004397416,0.10139985141587901,1.875e-05,False,3
78,0.05214685113991008,0.11193493024294048,0.14973089345373855,0.9614357456395672,0.10139985141587901,1.875e-05,False,4
79,0.052442687884474,0.10104658114740096,0.1381561525625744,0.9671676047632666,0.10104658114740096,1.875e-05,True,0
80,0.05375806461362278,0.11835582280625001,0.15555473902741862,0.9583774580457627,0.10104658114740096,1.875e-05,False,1
81,0.05422885975792628,0.12562595395769824,0.15818855968384676,0.9569560369245635,0.10104658114740096,1.875e-05,False,2
82,0.05425375660865748,0.10638024728259143,0.14327358623948871,0.9646902721672259,0.10104658114740096,1.875e-05,False,3
83,0.05333251709572407,0.09921228881998158,0.13538762214037942,0.9684702862534947,0.09921228881998158,1.875e-05,True,0
84,0.05242113255653061,0.09994291411337876,0.13641077732565612,0.9679919310405238,0.09921228881998158,1.875e-05,False,1
85,0.05499999364446692,0.11285641754485914,0.14696867069525246,0.9628454813921449,0.09921228881998158,1.875e-05,False,2
86,0.05352609945821161,0.10227959142434048,0.1383804104754331,0.967060929814398,0.09921228881998158,1.875e-05,False,3
87,0.053196306191697844,0.09879876139550631,0.13461779685804767,0.9688278279998428,0.09879876139550631,1.875e-05,True,0
88,0.05126920832368005,0.10268379264449672,0.1401143415923139,0.9662302934066427,0.09879876139550631,1.875e-05,False,1
89,0.05224591282298084,0.10333654060605589,0.1397347607163697,0.9664130151997189,0.09879876139550631,1.875e-05,False,2
90,0.05281255355089152,0.09938692326150239,0.1365690216261712,0.9679176255863321,0.09879876139550631,1.875e-05,False,3
91,0.05272188547904752,0.11575607502832025,0.1517049483423539,0.9604121787688182,0.09879876139550631,1.875e-05,False,4
92,0.051002210397429824,0.09890865260938835,0.1357931758236859,0.968281108793096,0.09879876139550631,1.875e-05,False,5
93,0.050826075103353054,0.10252447416085889,0.1406408182798546,0.965976038701463,0.09879876139550631,1.875e-05,False,6
94,0.05252096476424642,0.13061793227833032,0.16284151636490535,0.954386606646513,0.09879876139550631,1.875e-05,False,7
95,0.05192788572934996,0.09982661984549965,0.13641291160257904,0.9679909294390568,0.09879876139550631,1.875e-05,False,8
96,0.05008506191064831,0.09955945943438434,0.13657313941541185,0.9679156908804046,0.09879876139550631,9.375e-06,False,9
97,0.05170844388859613,0.10238093461300166,0.13692117129428724,0.9677519604403202,0.09879876139550631,9.375e-06,False,10
98,0.05187302780877642,0.09942030336890847,0.13705735110898232,0.9676877816739967,0.09879876139550631,9.375e-06,False,11
99,0.051538118263002204,0.09946701485582968,0.13514566328208977,0.9685828826106324,0.09879876139550631,9.375e-06,False,12
100,0.050848261774087154,0.0997582775477184,0.13787384359459812,0.9673016474302982,0.09879876139550631,9.375e-06,False,13
