epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,29,,,,1.0092166662216187,1.2570384740829468,1.6241061687469482
0,29,1.655978798866272,1.8428959846496582,3.5342211723327637,,,
1,59,,,,0.6673400402069092,0.8649560809135437,0.768171489238739
1,59,0.8241220712661743,1.0387673377990723,1.135252833366394,,,
2,89,,,,0.5213172435760498,0.6742292046546936,0.4682307839393616
2,89,0.592065155506134,0.7656281590461731,0.6067439913749695,,,
3,119,,,,0.47426241636276245,0.6031723618507385,0.3747631311416626
3,119,0.4980682134628296,0.6327357292175293,0.41970476508140564,,,
4,149,,,,0.446005642414093,0.5620437860488892,0.3252750039100647
4,149,0.4604572653770447,0.5781433582305908,0.3507309556007385,,,
5,179,,,,0.41874903440475464,0.529080867767334,0.28637775778770447
5,179,0.4355122745037079,0.5470886826515198,0.30883994698524475,,,
6,209,,,,0.398084431886673,0.501967191696167,0.2575393319129944
6,209,0.41512659192085266,0.5191666483879089,0.27715882658958435,,,
7,239,,,,0.3819068670272827,0.47843191027641296,0.23424121737480164
7,239,0.39243102073669434,0.4887371063232422,0.24967941641807556,,,
8,269,,,,0.36417168378829956,0.45800602436065674,0.21426212787628174
8,269,0.37894219160079956,0.4735953211784363,0.23012755811214447,,,
9,299,,,,0.34933561086654663,0.4394746720790863,0.19755612313747406
9,299,0.36215993762016296,0.4556000828742981,0.21250294148921967,,,
10,329,,,,0.3360174596309662,0.4235149025917053,0.18339765071868896
10,329,0.3473309576511383,0.43211033940315247,0.1954309642314911,,,
11,359,,,,0.32804012298583984,0.4105943441390991,0.1726851463317871
11,359,0.3354133665561676,0.4230997860431671,0.18491752445697784,,,
12,389,,,,0.32046839594841003,0.3992654085159302,0.16349808871746063
12,389,0.32466718554496765,0.40719306468963623,0.17094847559928894,,,
13,419,,,,0.3062998056411743,0.3832942545413971,0.1508258879184723
13,419,0.31602203845977783,0.3960806131362915,0.1625697910785675,,,
14,449,,,,0.2943584620952606,0.37139081954956055,0.14161886274814606
14,449,0.307646244764328,0.3832402527332306,0.1521039605140686,,,
